,true,pred
0,0.5616632103919983,0.5565558075904846
1,0.5188350081443787,0.5195896029472351
2,0.4722827076911926,0.47968360781669617
3,0.419771671295166,0.4322078824043274
4,0.35981225967407227,0.3746705651283264
5,0.2968734800815582,0.3110843300819397
6,0.2279760241508484,0.24352850019931793
7,0.1706235557794571,0.1695193499326706
8,0.09427771717309952,0.1101059764623642
9,0.038414910435676575,0.03062548115849495
10,-0.004413240123540163,-0.019262216985225677
11,-0.06921409070491791,-0.0513879619538784
12,-0.11315950006246567,-0.11754458397626877
13,-0.15002895891666412,-0.15741196274757385
14,-0.18950533866882324,-0.1896643489599228
15,-0.22823688387870789,-0.22788958251476288
16,-0.2584027945995331,-0.26694223284721375
17,-0.2848445177078247,-0.2941439747810364
18,-0.30830690264701843,-0.3112660050392151
19,-0.32357606291770935,-0.3328861594200134
20,-0.3332589566707611,-0.34793606400489807
21,-0.364169716835022,-0.35299035906791687
22,-0.3794388771057129,-0.388979971408844
23,-0.3947080373764038,-0.4002028703689575
24,-0.42226701974868774,-0.4104061722755432
25,-0.4326947331428528,-0.4357822835445404
26,-0.4401431083679199,-0.44080036878585815
27,-0.4561571180820465,-0.44671663641929626
28,-0.45839163661003113,-0.46048271656036377
29,-0.4531777799129486,-0.4583441913127899
30,-0.47068145871162415,-0.44729718565940857
31,-0.48297128081321716,-0.46609172224998474
32,-0.4982404410839081,-0.4779558777809143
33,-0.48259884119033813,-0.49345946311950684
34,-0.49377140402793884,-0.4667072296142578
35,-0.5004749298095703,-0.4800160527229309
36,-0.5041991472244263,-0.49021488428115845
37,-0.5023370385169983,-0.4955378770828247
38,-0.5019646286964417,-0.4957365393638611
39,-0.4870678782463074,-0.4955032467842102
40,-0.4669572710990906,-0.47879481315612793
41,-0.46286067366600037,-0.4511389434337616
42,-0.44349488615989685,-0.4509337842464447
43,-0.3574661612510681,-0.429865300655365
44,-0.3813009560108185,-0.3213813900947571
45,-0.3786940276622772,-0.3629457950592041
